Reviews,Rates
hersey kargomu yaa   teknik ozellikleri hakkinda hickimse yorum yapmamis ,0
bes para etmeyen fiyatini hak etmeyen bir telefon,0
uzun yillardir samsung kullanicisi oldugum icin ben xiaomi kullanamadim birde her sabah ve her aksam acip kapatmak zorunda kaldim cunku acma kapatma yapmayinca programlara giremiyordum ses kendi kendine sifirliyordu yada benim aldigim alette sikinti vardi sifir olmasina ragmen yine samsunga geri donus yaptim,0
cok guzel bi telefon cok memnunum,1
harika bir telefon,1
testt,1
urunu yaklasik 6 aydir kullaniyorum su ana kadar onemli bir sikinti yasamadim bataryasi bur gunu rahat cikariyor ekran genis ve yeterli kamerasi idare eder 48 mp lik bir kamera degil yazilim ve performans iyi en guzeli ise hic isinmiyor fiyatina gore iyi bir urun,1
sali gunu aksam siparis vermeme ragmen persembe gunu sabah geldi cok hizli kargo tesekkur ederim urun sikintisiz her seyi icinde bekledigim gibiydi,1
urun gayet guzel paketlenip geldi herhangi bir sorunu yok sorunsuz bir sekilde ilk kurulumunu ben yaptim siparis verirken cok tereddut etmistim fakat bundan sonra sadece buradan alisveris yapacagim :),1
paketleme sorunsuz satici ilgisi mukemmel ilgilenenlere tesekkurler,1
urun cok guzel kaliteli xiaomi candir  tek sorun cift hat yazilmis tek,1
kisa surede sorunsuz geldi telefonu anlatmaya gerek yok zaten fiyatina gore yeterli ve performans urunu,1
urun cok guzel ve kaliteli ve ayrica piyasaya gore cok uygun fiyat,1
en basta guvenememistim ama cok iyi geldi imei kodu e devlette kayitli telefon orijinal biraz daha patpata sarilsaymis cok iyi olurmus tek hatli telefon 2 gun icerisinde geldi telefon gercekten cok kaliteli bayaa begendim,1
urunum elime ulasti gorundugu gibi suan bir sorun gorunmuyor sadece kargo siparis ver dik den 5 gun sonra geldi baska bir sorun yok,1
3 gunde elime ulasti cok kaliteli magzadan alinmis gibi,1
ayni urunden iki adet aldim yani begendim tevsiye ederim,1
urun cok sik duruyor ve kullanisli kamerasi da guzel icinden bir adet seffaf kilif ta cikiyor ayrica hizli ve ozenli kargolama oldu,1
baya arastirdim bu urunde karar kildim iyikide buradan almisim uygun fiyat ve kaliteli garantili orjinal urun cok begendim yalniz keske ekran koruyucuda beraberinde gelseydi kucuk hediyeniz icinde ayrica tesekkurler almak isteyenler tereddut etmeden alabilir,1
su an evimde ayni telefonun siyahi ve mavisi de var gercekten renk olarak hepsi birbirinden guzel islemcisi gayet iyi donma kasma yok,1
basta tereddut icindeydim daha once hep samsung cep tel kullandim gayet guzel sik sorunsuz bir makina satici ozenle paketlenmis zamaninda ulasti emegi gecen herkeze tskr  ayrica saticinin kucuk hediyesi icin tskr kendisine hayirli isler bol kazanclar dilerim,1
trendyol la cok tesekkur ederim iyi ki varsiniz baska guvenli alisveris yerimiz yok cunku,1
urun cok kisa surede ve gayet duzgun bir sekilde elimize ulasti cok memnun kaldik tesekkur ederiz,1
tesekkur ederimm,1
telefonu siparis verdim ve 1 gun sonra elime ulasti jelatinli ve cok iyi paketlenmis olarak geldi imei numarasi sorguladim hicbir sorun yok emegi gecen herkese cok tesekkur ederim,1
urun cok kisa zamanda elime ulasti cok guzel herkese tavsiye ederim,1
telefonum sorunsuz geldi ozellikleri tam olarak yazildigi gibi hizi gayet guzel imei numarasini da sorgulattim hicbir sorun yok orijinal urun saticiya tesekkurler guvenle alabilirsiniz,1
bir aydir kullaniyorum cokkk menunum,1
urun sebeke problemi oluyor sim kart gormuyor,0
hizli ve guvenli,1
telefon normalde guzel ama asla burdan almak gibi bi hata yapmayin derim  urun yurt disindan gelmis ama imei numarasi yoktu ben daha sonrasinda fark ettim  urunu alali 15 yil oldu nerdeyse ama hala sikintilari devam ediyo kesinlikle burdan almayin,0
baya iyi begendim tavsiye ederim,1
urun anlatildigi gibi orijinal her hangi bir sikinti cikarmadi mobile markete ve trendyol ilgilerinden dolayi tesekkurler,1
ikinci el ve yurtdisi cihazi telefonun kenarinda darbe var ve kamre cevresi soyulmus ayrica ekranini degistirmisler ve ekrani tam oturtamamislar urunu bir de sifir diye satiyorlar,0
herhangi bir sorunu yok orijinal tesekkurler,1
5 ay oldu hicbir sikinti gormedim oneririm,1
urun cok guzel kargo iyi paketlenmis tesekkurler trendyol ve yurt ici kargo ya begendik super,1
urun iyi guzel ama kulaklik yok bari kirilmaz camini koysaydiniz para sayiyoruz buna sonucta,1
urun sim karti okumuyorsakina almayin,0
urun ozellikleri anlatildigi gibi memnun kaldim,1
birebir aynisi geliyor anneme hediye aldim bayildi,1
urunun kulakligi yoktu kargo cok gec geldi 6 gun surdu toplamda kargo hizli olabilirdi ayrica kulakligin olmamasi da cabasi,0
sorunsuz bir sekilde geldi gayet guzel bir telefon,1
agirligi fazla onun disinda sorunsuz teslimat tesekkur ediyorum,1
sahte imei li urun gonderildi urun faturasinda saticinin hic bir iletisim bilgisi yok adres gercek mi belli degil iade islemlerini baslatiyorum trendyol'a yakismadi,0
satici cok hizli gonderim yapti 24 saat gecmeden telefon elimdeydi ve telefon gercekten cok iyi tavsiye ederim,1
sarj aleti bozuk geldi satici asla cevap vermiyor trendyol yetkili servise gidin diyor onca isim gucum arasinda bir de teknik servise gitmem gerek onlarin rapor hazirlamasi gerekmis asla bu saticidan almayin cevap vermiyor ve cok magdur ediyor,0
okadar guzel bir telefon ki cok begendim hem kargo hizliydi hem kvk garantili hem cok sik muthis olaganustu,1
arada bir donma oluyor fotograf tam  net cekmiyor,1
kapali kutu ve faturali geldiguvenilir sikinti olmadi telefon gayet guzel kamera ayarlarindan mi bilemedim biraz fotograflar net olmuyor o kadar  tesekkur ederim yetkili firmaya ve trendyola,1
hic bir sorun yok gayet iyi,1
dogru urun dogru zamanlama tesekkurler,1
urun genel olarak is gorecek durumda yanliz dikkatimi ceken bi kac birseyi yazmak istedim daha 24 saat dolmadan beni uygulamalardan atmaya basladi cok ilginc bi sekilde sosyal medya gibi ben oyun oynayan biri degilim ama sasirdim 2 kez de dondu kaldi yani demek ki ust performans beklememek gerek ayrica arka tasarim i cok hos da yan cerceve olmus mu allah askina o kadar basit duruyor ki cidden metal gorunumlu plastik degilde direk metal cerceve cam kapak harika olurdu kiliftan gozume carptikca 7 sene evvel kullandigim samsung telefon geliyor oda boyleydi soyulmustu hep yani sirf yan cerceve icin bile tercih etmezdim bunu fark etmis olsaydimcok basit duruyor oyun oynamayan birisini 2 sene goturur diye dusunuyorum fazlasi yok bence yani 1 sene de bin tl artmis olmasida ayrica uzdu beni ha birde adiniza faturali geliyor kvk garantili bu cok guzel benden tavsiye bilgisi olmayan arkadaslar icin xiaomi turkiye garantili alin ithalatci garamtili daha uygun diye yanilmayin bi cok arastirma yaptim garanti ve tamirde sikinti yasayan insanlar var isinizi garantiye alip turkiye garantili alin nacizane tavsiyem,0
