Reviews;Rates
 fiyatina gore super bir telefon;1
 guzel urun tebrikler;1
 sorunsuz geldi tesekkurler;1
(puan sifir olmaliydi)telefon aldiktan  3 ay sonra kayitsiz oldugu ortaya cikti ve tek yaptiklari servis ile gorusun demek olmus;0
(xiaomi turkiye garantili) diye yzadigina bakmayin kvk garantili geliyortelefon guzel bu fiyata bu ozellilikte elefon bulamassiniz;0
1 2 haftadir kullaniyorum bence bu fiyata cok guzel bir telefon hizli sarji surekli oynasan bile 2 gun gidiyor en az tavsiye ederim su siralar surekli pahalaniyor alacaksaniz acele  edin :);1
1 ay sonra bozuldu;0
1 gun icerisinde teslimat yapildi  hicbir problemi yok  kutusu herseyi mukkemldi satici firmaya tesekkur ederim;1
1 gun icinde geldi Teyit ettik orijinal ve faturasi mail ile geliyor ve islak imzali rengi acayip tatli :);0
1 gunde elime gectitelefon orijinal kutusunda harika;1
1 gunde elime ulasti cok iyi;0
1 gunde elime ulasti kaliteli bir hizmetti tesekkurler;1
1 gunde elime ulasti tesekkurler;1
1 gunde geldi mukemmel telefonda hic bi sikinti yok;1
1 gunde geldi telefonogluma aldim cok guzel  rengi harika;1
1 gunde hizli bir sekilde elime ulasti sorunsuz;0
1 gunde teslim super hizli;1
1 gunde ulasti telefon paketleme iyiydi teslimatta sikinti yasamadim icerisinde faturasi da vardi paketin icerisinde bulunanlar gorseldekiler e devletten imei sorgulamasi yaptim 1 imei icin kayit bulamadi digeri icin buldu turkiye garantili diyor ama garanti klavuzunun icerisinde ithalatci firma ismi yaziyor kafam karisti ama kullancam bir sikinti yasamam umarim;1
1 haftada geldi  suan icin deneme asamasindayim  ama gorunus cok guzel telefon bakalim;0
1 haftadir imeil yazili fatura istedik kimse islemedi 3 kere aradim kimseye tavsiye etmem ince hesaplari bi kere saticiya ulasmak olum;0
1 puan telefon cok kalin ve agir oldugu icin kirdim 1 puan rehber sorunu yuzunden kiriyorum rehber sistemi gercekten cok sacma numarayi kaydediyorsunuz otomatik geri siliniyor bi numarayi siliyorsunuz kendiliginden geri yukleniyor 1 puan video cekerken duraklatinca ayni yerden cekmeye devam ettiremiyorsunuz diye kirdim onun disinda kamera pikseli ozellikleri guzel;0
1 sene dolmadan  imei si calindi  satici guvenilir mi ? sorusuna artik suphe uyandiriyor;0
1 sene once babama aldikasiri memnun  hizikamerasi gayet yeterli;1
1 senedir kullaniyorum gayet memnunum;1
1 yildir kullaniyorum memnunum;0
1 yildizi urun cok gec geldigi icin kirdim yoksa 5yildizlik harika bir urun tavsiye ederim;1
1 yili geckindir bu telefonu kullaniyorum cok memnunum ozellikle sarj konusunda tasarimi hos kamerasi ideal onlarca uygulama yuklu kasma yok agir demisler ama ben cok alistim rahatsiz edici bir agirlik degil asla acik havada ekran renklerinde degisiklik oluyordu guncelleme ile onu da hallettiler;1
10  numara iyi ki almisim;1
10 numara 1 urun;1
10 numara bu fiyata super derim kacirma;1
10 numara urun harika;1
10 uzerinden 10 urun harika tam bir f/p urunu trendyol zaten efsane;0
1111 indiriminden aldim saticiyi ve telefonu tavsiye ederim fiyat performans urunu;1
12 taksit aldim diger teknomarketlerde en fazla 6 taksit veriyorlarTesekkur teknosa;0
1400 almistim simdi 2500 olmus vay be;0
15 yildir iphone kullanicisiyim bu kadar berbat urun ve servis anlayisi gormemistim hic  Anladim ki Apple iphone a o kadar fazladan para verip almaya gerek yok artik  Cunku herhangi bir android telefondan hicbir farki kalmamis ve hatta bazi android telefonlar bile onlardan daha iyi urun ve servis hizmeti vermektedir Tek kelimeyle berbat bitmeye ilk adimlarini  atmislar;0
16 saatte elime ulasti guzel paketlenmis tesekkurler;1
1700  liraya almistim 2020 mart ayinda  kamerasi guzel 2 gun sarj dayaniyor cok uygulama kullanmadigin takdirde inc e dikkat ederek alin biraz kalin sadece ama alistim birde cok nadir bi kasma yapiyor nedenini anlamadim kulagida yok;0
2 adet aldim Telefon guzel fakat siyah renginde ses acma tusunun yaninda ekraninda catlak vardi Iade edip yeni urun istedim mecbur Ama beyaz renginde problem yoktu Kullaniyorum;0
2 ay oldu alali hicbir sikintisini gormedim cok memnunum ozellikle kamerasi ve hoparlor sesi cok guzel tam bir fiyat performans urunu kesinlikle tavsiye ederim;1
2 ay oldu hic bir sorun cikmadigayet memnunum;1
2 ay sonra imeim klonlandi dikkat;0
2 aydir kullaniyorum cok aktif kullanmama ragmen sarji bir bucuk gun gidiyor rengi harika dezavantaji cok agir olmasi ayrica eni iyi ama uzunlugu cok fazla;1
2 aydir kullaniyorum ve cok memnunum;1
2 aydir kullaniyorum ve cok memnunum bir yil oldu hala cok memnunum tavsiye ediyorum;1
2 bin liralik telefonlarda ayni isi goruyor  Luzumsuz para harciyoruz insanlarin marka saplantilari yuzunden;0
2 gun icerisinde elimize ulasti simdilik guzel kamerasi cok iyi tesekkurler trendyol;1
2 gun icinde elime ulasti ve satici gercekten cok ilgili iyi ki bu firmayi tercih etmisim urunden de cok memnunum ;1
2 gunde elime ulasti cok iyi super telefon herkese tavsiye ederim;1
2 gunde elime ulasti guzel bir tlfsaglam  duruyor fakat klavye kismini begenmedim urunle beraber seffaf kilif gonderilmisiyi oldu kulaklik yok ama eski kulakligimi kullaniyorumo yuzden sorun yok;1
2 gunde geldi cok tesekkur ederiz;1
2 gunde geldi paketlemesi o kadar guzel degildi daha iyi paketleme olabilir telefon guzel tesekkurler;0
2 gunde geldi ve cok sevdim mukemmel telefon tesekkurler trendyol;1
2 gunde saglam bir sekilde geldi tesekurler;1
2 gunde ulasti fiyat performans iyi;1
2 haftada elime gecti ama sorunsuz orijinal urun;0
2 imei hesabimda calindi sagolun modem olan odada wifi cekmiyor tel kasiyor kendi kendine kapandigi oluyor igrenc bise kacak telefon gonderiyorsunuz herhalde  !!!!!!!!!!!!!!!;0
2 urunu alacagim cok memnunum;1
24 saat bile surmeden urun teslim edildiharika hizli ve kaliteli teslimat urun kaliteli ve piyasanin en iyisi cok tesekkur ederiz trendyol;1
24 saat dolmadan telefon elime ulasti cok hizli kargo ozellikleri bakimindan ideal bu fiyata;1
24 saatte elime ulasti gayet memnunum;1
28 saatte felan elime ulasti paketleme cok guzel tesekkurler;1
2tane aldim fiyat performans daha iyisi yok bence;0
3 ay oldu sorunsuz suana kadar memnunum;1
3 Ay once aldimAldigima bin pisman oldum gorusme sirasinda karsi taraftan ses gelmiyor ama benim sesim net gidiyor Bazen seslerin tamami gidiyor hic bir uygulamada ses gelmiyor 2 kez yetkili servise gondermeme ragmen bir sorun olmadigini soyleyip geri gonderiyorlar Apple garantisine guvenerek aldim ama hepsi bos Satici apple a yonlendiriyor apple da saticiya ne yapacagim bilemeden kaldim oyle ortada;0
3 gun icinde elime ulasti urun de cok iyi;1
3 gun icinde elime ulastitelefon gercekten kullanimi cok hos48 mp kamerasi guzelkaranlik mod cekimi berbat;0
3 gunde elime sikintisiz sorunsuz ulasti sikintisiz ve bekledigim gibiydi tesekkurler;1
3 gunde elime ulasti cok kaliteli magzadan alinmis gibi;1
3 gunde elime ulasti umarim garanti vb durumlarda cikmazsa muazzam telefon  kulaklik yok kutu icinde telefon kilifi cikiyor icinden  ses kalitesi yuksekligi cok hos;1
3 Gunum telefonum isinma yapiyor neden acaba ? Hemde kullanmadigim halde sarj cihazinda iken ?;0
3kez siparis veriyorum cok guzel bir cihaz;1
4 gunde elimize ulasti saglam paketlenmisdi xiaomi kalitesi her zamanki gibi mukemmelkamerasi hizi netligi cok cok iyi alacak olanlara tavsiye ederim;1
4 gunde gaziantep e geldisorunsuzilk defa bu siteden aldimkargo bilgilendirme iyiydi ;1
4 gundur kullaniyorumtasarim ve kamera acisindan gayet guzel;1
45g calismiyor gelen urunde;0
4x4 bir urun;1
5 ay oldu hicbir sikinti gormedim oneririm;1
5 yildiz da benden;1
5110'dan biraz iyi Android'ten sonra cop Para vermeye degmez 1 gun kullandim sattim;0
6 ayda telefon bozuldu kendi kendine acip kapatiyor servise vericem faturam yok talep olusturuyorum sonuc yok;0
6 aydir urunu kullaniyorum hala bir sorun yasamadim kesinlikle tavsiye ederim;1
7 ay once fiyati daha uygunken almistim cok memnunum urun cok hizli elime ulasmisti tesekkurler ;1
7 bin tl Telefonun aldik ama hic bir sekilde bir fatura yada evrak gondermemisler ne telefonla nede e postaya boyle satismi olur biran once faturami gonderin;0
7100 liradan aldim rengi asiri guzel Urun orijinal Apple'in kendi sitesinden seri numarasiyla kontrol sagladim 2 gun icinde kargoya verildi paketleme yeterliydi Kutunun icinden yalnizca USB-C kablosu cikiyor Dikkat USB degil USB-C kablosu Sarj adaptorunu de 20 w'lik olan USB-C girisi olandan almaniz gerekiyor;0
7bin tl ye indirimli aldim cok memnunum super super super;0
8 ay oldu alali cok memnunum tevsiye ederim fiyat kalite iyi;1
8 aydir kullaniyorum hafif hafif kasmalar kendi kendine kapanmalar basladi sarjida bir gun ancak gidiyor;0
8 gunde elime ulasti siz verin artik kararinizi ;0
8 plus kullaniyordum onceden buna ona katlardi performansi niye piyasadan kaldirdilar onuda anlamis degilim hani;0
9 ay oldu alali gayet memnunum mukemmel;1
Acaba gonderdiginiz bu sarj kablosunun ucunu adaptore nasil takacagim? Iphone 11 telefona boyle bir kablo koymanin mantigi nedir?;0
Acikcasi alirken tereddutte kalmistim ama Gayet memnunum Urun paketlenmesi gayet saglamdi Tel da hicbir sorun yok Sifir paketinde gonderilmis  Koycebine aldi satici ve trendyola tesekkurler;0
Acikcasi kusku duyarak satin almistim ama urun 1 hafta icinde sorunsuz elime ulasti Paketleme saglam ve piyasa fiyatinin altinda Tesekkurler;0
Acilmamis orjinal telefon elime ulasti Tek kotu yani paketleme ozenli olmadigi icin kutunun kosesi ezilmisti;0
aga be ben bu urunu magazadan aldim urun gayet guzel kullanis bakimindan ozellikle kamerasini guzel buldum gercekten o segmentte bir telefon olmasina ragmen rakiplerini geride birakiyor ayrica pil konusunda gayet basarili bitmiyor ki sarja takalim surekli olarak kullanmama ragmen 15 gunu rahat deviriyor ama fiyat olarak baya artmis ben 1800 e aldim bunu kulaklik ve kirilmaz cam da dahil;1
agir ve donmalar oluyor ara ara anlamis degilim sebebinii begenmedim acikcasi;0
agirligi fazla onun disinda sorunsuz teslimat tesekkur ediyorum;1
ailece xiaominin butun modellerini kullaniyoruz bu modelden 2 tane aldik cok memnunuz hizli kargo ozenli paket icin saticiya tesekkurler ;1
Alacak olan arkadaslar kesinlikle almayin urunler ekran ortasinda cizgi ile geliyor satici ile iletisime gectigimde kabul etmiyorlar direk apple servisine yonlendiriyorlar apple da garanti kapsamina sokmuyor bosuna paraniza yazik etmeyin;0
Alacaklar varsa bu firmadan sakin almasin on gun beklettikten sonra yanlis urun gondermistir tam anlamiyla hayal kirikligi ;0
alali 2 ay olmadan mikrofon problemi ortaya cikti aradigimda kimse muhataba almadi;0
alali 3-4 ay olduhic memnun kalmadimoyun falan oynamama ragmen ekran donup kaliyor;0
alali bir yili gecti hala cok memnunuz;0
alan memnun dan aldim 8 gunde elime gecti bu kadar da olmaz telefon mukemmel 2 haftadir kullaniyorum ekran acik suresi 7 saat falan ekrani iyi;0
aldigim cihazda herhangi bir sorun yok  sadece fatura kisminda yanlisliklar var cihaz faturasiz;0
aldigim daha 2 gun olmadi   ve mobil verisi calismiyor  ama diger turlu guzel telefon;0
